run_idx,drag
486,522.7817980885834
155,524.0745229511407
240,524.2892016951826
46,524.33861604453
471,524.4568835199648
357,524.4685781534241
283,525.2672265177721
272,527.4716213873995
14,528.6572991445553
180,529.7733257135028
250,531.0350625066068
318,533.7390209762219
500,534.6114428911262
219,535.0815706978539
75,535.6872295778234
63,536.1371604801836
138,538.949245784054
360,540.9873459769022
231,541.6695448938641
444,541.7159867310921
39,542.2924987434186
226,544.3924727266761
336,545.5542656663737
8,546.1140522716726
19,550.2916154998633
88,550.9671345893665
292,553.1609486280755
277,553.3504444323451
258,554.6499480726508
412,554.8193717190591
105,556.3114957277169
387,559.9501161550162
186,560.1155462806423
49,560.6187806911071
299,560.8100077194648
379,564.7543090967483
11,566.3474801196397
173,568.481814333567
393,569.5474583807804
